object_id,ebike,traditional,Female,Male,classic,hybrid,race,helmet,torso_angle,arm_angle
GH010528_10525,0,1,0,1,0,0,1,1,38.51304,31.871464
GH010528_15009,0,1,0,1,0,0,1,1,37.413597,35.502655
GH010528_1514,0,1,0,1,0,0,1,0,32.075565,36.974422
GH010528_2383,0,1,0,1,0,0,1,1,50.433167,38.58168
GH010529_2124,0,1,0,1,0,0,1,0,45.214546,31.20744
GH010529_2173,0,1,0,1,0,0,1,1,39.91989,42.426414
GH010531_13533,0,1,0,1,0,0,1,1,34.114937,39.152344
GH010531_16591,0,1,0,1,0,0,1,1,37.693577,39.486874
GH010531_3043,0,1,0,1,0,0,1,1,37.579376,17.707607
GH010531_5779,0,1,0,1,0,0,1,1,43.935062,35.217022
GH010531_7166,0,1,0,1,0,0,1,1,52.8728,26.9749
GH010531_7174,0,1,0,1,0,0,1,0,56.7696,24.706316
GH010531_8972,0,1,0,1,0,0,1,1,41.89919,38.791607
GH020522_10850,0,1,0,1,0,0,1,1,45.1376,22.74499
GH020522_11146,0,1,0,1,0,0,1,1,39.427265,36.668015
GH020522_15477,0,1,0,1,0,0,1,1,43.198788,35.262722
GH020522_5614,0,1,0,1,0,0,1,1,50.96012,32.879417
GH020522_6560,0,1,0,1,0,0,1,1,31.899734,40.11125
GH020528_131,0,1,0,1,0,0,1,1,36.928787,35.675415
GH020529_676,0,1,0,1,0,0,1,1,46.691147,42.723846
GH020531_1366,0,1,0,1,0,0,1,1,31.971502,16.51025
GH020531_2662,0,1,0,1,0,0,1,1,42.87532,34.32821
GH020531_3651,0,1,0,1,0,0,1,1,41.977856,28.698725
GH020522_8372,0,1,1,0,0,0,1,1,38.908985,34.087692
GH020531_2512,0,1,1,0,0,0,1,1,26.716728,61.650276
GH010527_10722,0,1,0,1,0,1,0,1,31.059174,43.98136
GH010528_16328,0,1,0,1,0,1,0,1,29.158152,46.474712
GH010528_17174,0,1,0,1,0,1,0,1,39.9834,39.229935
GH010528_4734,1,0,0,1,0,1,0,1,29.824493,77.92627
GH010528_5652,0,1,0,1,0,1,0,1,29.649559,35.855522
GH010528_5674,1,0,0,1,0,1,0,1,43.113354,45.861877
GH010529_13443,0,1,0,1,0,1,0,1,34.06759,29.750793
GH010529_13461,0,1,0,1,0,1,0,1,19.328388,39.204292
GH010529_13478,0,1,0,1,0,1,0,1,26.803747,43.232292
GH010529_14569,0,1,0,1,0,1,0,1,44.641987,33.57183
GH010529_14884,1,0,0,1,0,1,0,1,12.169719,44.03083
GH010529_16497,0,1,0,1,0,1,0,1,24.528025,33.235474
GH010529_2757,1,0,0,1,0,1,0,1,26.173622,33.492725
GH010529_2920,0,1,0,1,0,1,0,0,21.163694,52.313175
GH010529_5241,1,0,0,1,0,1,0,1,30.675238,36.794945
GH010529_5327,0,1,0,1,0,1,0,1,37.17017,36.839596
GH010531_10768,1,0,0,1,0,1,0,1,23.97043,41.600277
GH010531_11047,0,1,0,1,0,1,0,0,31.813349,27.382284
GH010531_11495,0,1,0,1,0,1,0,1,35.221252,26.439173
GH010531_12370,0,1,0,1,0,1,0,1,41.74374,24.419909
GH010531_13071,0,1,0,1,0,1,0,0,33.400757,38.40449
GH010531_13718,1,0,0,1,0,1,0,1,11.249956,59.85939
GH010531_14223,1,0,0,1,0,1,0,1,22.088713,29.551865
GH010531_14527,0,1,0,1,0,1,0,1,34.17169,17.290617
GH010531_15381,0,1,0,1,0,1,0,1,25.522133,41.71564
GH010531_15473,1,0,0,1,0,1,0,1,27.232851,32.874657
GH010531_15900,0,1,0,1,0,1,0,0,15.361498,37.588867
GH010531_16019,0,1,0,1,0,1,0,1,50.79102,26.618435
GH010531_2224,1,0,0,1,0,1,0,1,32.70812,65.51674
GH010531_2982,0,1,0,1,0,1,0,1,42.856487,25.404556
GH010531_3272,0,1,0,1,0,1,0,1,43.80216,32.38421
GH010531_3400,0,1,0,1,0,1,0,1,41.87573,30.72987
GH010531_4615,0,1,0,1,0,1,0,0,39.415916,42.982174
GH010531_5470,0,1,0,1,0,1,0,1,16.401327,36.32424
GH010531_5574,0,1,0,1,0,1,0,1,25.622255,33.28894
GH010531_6060,0,1,0,1,0,1,0,1,32.92836,35.02649
GH010531_6726,0,1,0,1,0,1,0,1,24.864014,31.63415
GH010531_8820,1,0,0,1,0,1,0,1,19.050331,37.653595
GH010531_9048,1,0,0,1,0,1,0,1,23.78929,31.339754
GH020522_10772,0,1,0,1,0,1,0,1,46.133923,31.11198
GH020522_11106,1,0,0,1,0,1,0,1,24.22241,47.372353
GH020522_12043,1,0,0,1,0,1,0,1,23.884104,43.61959
GH020522_12147,0,1,0,1,0,1,0,1,26.542362,35.92233
GH020522_13388,1,0,0,1,0,1,0,0,27.472963,42.848057
GH020522_13716,1,0,0,1,0,1,0,1,41.889797,35.09703
GH020522_13728,0,1,0,1,0,1,0,1,28.671173,48.833145
GH020522_15580,0,1,0,1,0,1,0,1,41.963753,36.68932
GH020522_15899,0,1,0,1,0,1,0,1,32.111214,32.624596
GH020522_16078,1,0,0,1,0,1,0,1,32.53047,36.204033
GH020522_3614,0,1,0,1,0,1,0,1,25.274673,34.450397
GH020522_4409,1,0,0,1,0,1,0,1,42.396,24.308891
GH020522_4939,1,0,0,1,0,1,0,1,20.3982,43.291504
GH020522_5053,0,1,0,1,0,1,0,1,36.111446,35.053417
GH020522_5231,1,0,0,1,0,1,0,1,24.83482,41.062004
GH020522_5263,1,0,0,1,0,1,0,0,31.096928,40.890198
GH020522_5506,0,1,0,1,0,1,0,1,40.337948,33.084267
GH020522_6105,1,0,0,1,0,1,0,1,29.824368,39.913437
GH020522_8192,0,1,0,1,0,1,0,1,35.333565,33.42994
GH020522_8653,0,1,0,1,0,1,0,1,44.27717,33.280483
GH020522_8890,0,1,0,1,0,1,0,1,22.62938,49.077114
GH020522_9351,0,1,0,1,0,1,0,1,37.8312,27.0835
GH020522_9976,0,1,0,1,0,1,0,1,30.782965,40.673683
GH020528_14063,0,1,0,1,0,1,0,1,25.264914,41.830894
GH020528_1466,0,1,0,1,0,1,0,1,21.027164,64.97602
GH020528_797,0,1,0,1,0,1,0,1,26.356882,38.01473
GH020528_987,0,1,0,1,0,1,0,1,29.857435,73.01319
GH020528_9919,0,1,0,1,0,1,0,0,31.337927,30.724514
GH020529_1647,0,1,0,1,0,1,0,1,41.244637,29.765703
GH020529_2062,0,1,0,1,0,1,0,1,30.9705,43.34978
GH020529_2088,0,1,0,1,0,1,0,1,37.869106,37.948452
GH020529_467,0,1,0,1,0,1,0,1,46.658436,39.48241
GH020531_191,0,1,0,1,0,1,0,1,52.65937,23.947556
GH020531_3061,1,0,0,1,0,1,0,0,42.732944,28.436926
GH020531_718,0,1,0,1,0,1,0,0,37.674923,33.142845
GH030528_4085,0,1,0,1,0,1,0,1,24.909393,34.815735
GH010528_14666,0,1,1,0,0,1,0,0,31.872038,30.792297
GH010528_16765,1,0,1,0,0,1,0,0,24.290308,68.69551
GH010528_3089,0,1,1,0,0,1,0,1,32.11781,47.171486
GH010528_5956,1,0,1,0,0,1,0,1,17.190948,51.562313
GH010529_14631,1,0,1,0,0,1,0,1,16.390839,54.39321
GH010529_1663,0,1,1,0,0,1,0,1,41.602688,46.40201
GH010529_6149,0,1,1,0,0,1,0,1,28.68595,40.858017
GH010529_6166,0,1,1,0,0,1,0,0,26.66108,73.89554
