label,x,y,confidence
nose,662.81573,403.29492,0.9382352
left_eye,667.8341,398.90222,0.95257664
right_eye,0.0,0.0,0.30695847
left_ear,683.6687,403.76715,0.9632312
right_ear,0.0,0.0,0.029527402
left_shoulder,691.1908,429.59656,0.9963864
right_shoulder,686.3473,428.562,0.98685676
left_elbow,669.5456,456.75134,0.9978829
right_elbow,655.5676,450.84802,0.96292114
left_wrist,631.4699,472.91278,0.9982273
right_wrist,618.2479,460.77576,0.98183745
left_hip,703.8157,502.36972,0.98891544
right_hip,702.0731,499.63666,0.97635376
left_knee,650.3832,522.5419,0.9846941
right_knee,658.8308,521.5314,0.9514387
left_ankle,670.015,579.4701,0.929777
right_ankle,676.65985,576.9969,0.84646416
torso_angle,12.476135,,
arm_angle,64.68397,,
